stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S1183,T1184,5.58734,-0.174806,5.57788,-0.170827
S1187,S5641,5.56795,-0.180797,5.57019,-0.180383
S1188,S1187,5.56585,-0.18116,5.56795,-0.180797
S1188,S6024,5.56585,-0.18116,5.57122,-0.188491
S1188,S1189,5.56585,-0.18116,5.55636,-0.182718
S1189,S3989,5.55636,-0.182718,5.5596,-0.182212
S1189,S1191,5.55636,-0.182718,5.54966,-0.189749
S1189,S4478,5.55636,-0.182718,5.55495,-0.183343
S1191,S1192,5.54966,-0.189749,5.54872,-0.19467
S1192,S1193,5.54872,-0.19467,5.5486,-0.201018
S1193,T1181,5.5486,-0.201018,5.54328,-0.204909
S1197,S1198,5.58598,-0.236899,5.58826,-0.234449
S1198,S1199,5.58826,-0.234449,5.58862,-0.233688
S1199,S1201,5.58862,-0.233688,5.59071,-0.229895
S12,S13,5.69745,-0.31501,5.70448,-0.298623
S1201,S1202,5.59071,-0.229895,5.58849,-0.227391
S1202,S1204,5.58849,-0.227391,5.58512,-0.221458
S1204,S1205,5.58512,-0.221458,5.57348,-0.216525
S1205,T1206,5.57348,-0.216525,5.56959,-0.216475
S1205,T1206,5.57348,-0.216525,5.56959,-0.216475
S1205,T1206,5.57348,-0.216525,5.56959,-0.216475
S1209,S1210,5.57462,-0.233005,5.57561,-0.238353
S121,S122,5.5863,-0.251435,5.58624,-0.239798
S1210,S1212,5.57561,-0.238353,5.57741,-0.238616
S1210,S1243,5.57561,-0.238353,5.57747,-0.238675
S1210,S1243,5.57561,-0.238353,5.57747,-0.238675
S1212,S1214,5.57741,-0.238616,5.58143,-0.239061
S1214,T1215,5.58143,-0.239061,5.583,-0.240306
S1214,S1271,5.58143,-0.239061,5.58297,-0.240332
S1218,S1220,5.58144,-0.238964,5.5829,-0.241666
S122,S123,5.58624,-0.239798,5.58536,-0.238971
S1220,S1221,5.5829,-0.241666,5.58178,-0.24231
S1221,S1222,5.58178,-0.24231,5.58208,-0.244466
S1221,S1228,5.58178,-0.24231,5.58039,-0.239742
S1222,S1223,5.58208,-0.244466,5.58073,-0.245646
S1223,S1224,5.58073,-0.245646,5.57999,-0.246261
S1223,S117,5.58073,-0.245646,5.58597,-0.251554
S1224,S1225,5.57999,-0.246261,5.57986,-0.247029
S1225,S1221,5.57986,-0.247029,5.58178,-0.24231
S1228,S1229,5.58039,-0.239742,5.58743,-0.227117
S1228,S43,5.58039,-0.239742,5.5851,-0.231863
S1229,S1205,5.58743,-0.227117,5.57348,-0.216525
S123,T132,5.58536,-0.238971,5.58467,-0.235117
S1235,S1236,5.57485,-0.227457,5.57358,-0.228887
S1235,S1258,5.57485,-0.227457,5.5722,-0.23109
S1236,S1237,5.57358,-0.228887,5.5715,-0.232558
S1237,S1238,5.5715,-0.232558,5.57167,-0.235789
S1238,S1239,5.57167,-0.235789,5.57149,-0.238426
S1238,S1239,5.57167,-0.235789,5.57149,-0.238426
S1238,S4393,5.57167,-0.235789,5.57536,-0.236369
S1239,S1240,5.57149,-0.238426,5.57388,-0.238068
S1239,S1240,5.57149,-0.238426,5.57388,-0.238068
S1239,S4760,5.57149,-0.238426,5.57046,-0.237585
S1240,S1210,5.57388,-0.238068,5.57561,-0.238353
S1240,S1210,5.57388,-0.238068,5.57561,-0.238353
S1243,T1216,5.57747,-0.238675,5.58039,-0.239548
S1243,S1267,5.57747,-0.238675,5.579,-0.238887
S1250,S1251,5.58788,-0.226258,5.58024,-0.220578
S1251,S1252,5.58024,-0.220578,5.57545,-0.216729
S1252,S1205,5.57545,-0.216729,5.57348,-0.216525
S1258,S1238,5.5722,-0.23109,5.57167,-0.235789
S1267,S1269,5.579,-0.238887,5.58046,-0.239707
