index,long_B,stopA_id,stopB_id,lat_A,long_A,lat_B,distance,time
37,-0.232402,S1023,S4727,5.55802,-0.231264,5.55566,347,51
38,-0.235921,S1025,T75,5.56335,-0.232579,5.56507,2073,352
39,-0.235921,S1025,T75,5.56335,-0.232579,5.56507,2073,352
40,-0.234364,S1025,S1102,5.56335,-0.232579,5.56432,2263,385
41,-0.210928,S1032,S206,5.55764,-0.212383,5.55201,647,137
42,-0.216965,S1037,S1038,5.58282,-0.216685,5.5908,1027,161
43,-0.216658,S1038,S1039,5.5908,-0.216965,5.59415,377,81
44,-0.216953,S1038,T1028,5.5908,-0.216965,5.5957,551,119
45,-0.216953,S1039,T1028,5.59415,-0.216658,5.5957,174,38
46,-0.217003,S1039,S2938,5.59415,-0.216658,5.59845,479,105
47,-0.209835,S1051,S1052,5.5984,-0.212234,5.59636,349,63
48,-0.204736,S1052,T1053,5.59636,-0.209835,5.5919,753,188
49,-0.216901,S1056,S1057,5.59465,-0.216799,5.59172,330,72
50,-0.217519,S1057,T1048,5.59172,-0.216901,5.59087,137,36
51,-0.328514,S106,S108,5.5473,-0.338736,5.55147,1223,108
52,-0.172133,S1061,S1062,5.56722,-0.169447,5.56398,473,50
53,-0.179096,S1062,S1064,5.56398,-0.172133,5.56631,1024,105
54,-0.181151,S1064,S1065,5.56631,-0.179096,5.5662,389,102
55,-0.181385,S1065,S1067,5.5662,-0.181151,5.56446,195,58
56,-0.181934,S1067,S1068,5.56446,-0.181385,5.561,390,124
57,-0.182148,S1068,S1069,5.561,-0.181934,5.55961,156,60
58,-0.183329,S1069,S5631,5.55961,-0.182148,5.55498,536,96
59,-0.181795,S1069,S6017,5.55961,-0.182148,5.55457,577,124
60,-0.182655,S1069,S1070,5.55961,-0.182148,5.55662,339,70
61,-0.181032,S1069,S4437,5.55961,-0.182148,5.56612,735,255
62,-0.194817,S1070,S1071,5.55662,-0.182655,5.54874,1926,304
63,-0.201709,S1071,T244,5.54874,-0.194817,5.54863,843,149
64,-0.184642,S1075,S1076,5.56062,-0.186797,5.56624,684,86
65,-0.172363,S1076,S1077,5.56624,-0.184642,5.56345,2831,456
66,-0.171056,S1077,S1078,5.56345,-0.172363,5.56483,262,35
67,-0.168899,S1078,S1079,5.56483,-0.171056,5.56898,538,85
68,-0.163812,S1079,T1059,5.56898,-0.168899,5.56742,618,117
69,-0.274154,S108,S109,5.55147,-0.328514,5.57634,6965,548
70,-0.217718,S1088,S1007,5.55011,-0.22034,5.54756,402,95
71,-0.254699,S109,S110,5.57634,-0.274154,5.57635,2373,299
72,-0.232915,S1093,S1094,5.55907,-0.230633,5.56348,1686,331
73,-0.23427,S1094,S1095,5.56348,-0.232915,5.56423,2238,381
74,-0.242754,S1095,S1096,5.56423,-0.23427,5.56951,2493,456
75,-0.255653,S1096,S1097,5.56951,-0.242754,5.57734,1686,188
76,-0.248525,S1096,S1129,5.56951,-0.242754,5.57285,739,50
77,-0.26366,S1097,T1098,5.57734,-0.255653,5.58043,984,173
78,-0.31501,S11,S12,5.6963,-0.317257,5.69745,279,38
79,-0.236896,S110,S111,5.57635,-0.254699,5.56564,2304,356
80,-0.235657,S110,S1350,5.57635,-0.254699,5.56501,2458,396
81,-0.245412,S110,S1723,5.57635,-0.254699,5.57069,1205,136
82,-0.24418,S110,S1775,5.57635,-0.254699,5.57004,1359,159
83,-0.235657,S110,S1350,5.57635,-0.254699,5.56501,2458,396
84,-0.234364,S1101,S1102,5.5734,-0.249828,5.56432,1989,335
85,-0.226168,S1102,S1103,5.56432,-0.234364,5.55544,1587,324
86,-0.228567,S1102,S152,5.56432,-0.234364,5.56236,855,152
87,-0.238623,S1102,S2181,5.56432,-0.234364,5.56705,1974,347
88,-0.250366,S1102,S2165,5.56432,-0.234364,5.57417,3498,571
89,-0.223026,S1103,S965,5.55544,-0.226168,5.55259,471,101
90,-0.217965,S1105,S1106,5.55082,-0.22116,5.5477,495,125
91,-0.215964,S1106,T1081,5.5477,-0.217965,5.54539,429,79
92,-0.236644,S111,T89,5.56564,-0.236896,5.56469,176,75
93,-0.21306,S111,T113,5.56564,-0.236896,5.55108,3346,571
94,-0.231636,S111,S1726,5.56564,-0.236896,5.5626,673,140
